0.4467728,0.24370067,0.92314744,2.4534476,2.0835972,1.6895636
0.44559246,0.24305682,0.92070854,2.4469657,2.0780923,1.6850998
0.44441208,0.24241297,0.9182696,2.4404838,2.0725875,1.680636
0.44323173,0.24176912,0.9158307,2.4340017,2.067083,1.6761723
0.44205138,0.24112527,0.9133917,2.4275198,2.061578,1.6717085
0.440871,0.24048142,0.9109528,2.421038,2.0560732,1.6672447
0.43969065,0.23983757,0.90851384,2.414556,2.0505683,1.662781
0.43851027,0.23919371,0.90607494,2.408074,2.0450635,1.6583172
0.43732992,0.23854986,0.903636,2.401592,2.0395586,1.6538534
0.43614957,0.23790601,0.9011971,2.3951101,2.034054,1.6493896
0.4349692,0.23726216,0.8987581,2.3886282,2.0285492,1.6449258
0.43378884,0.23661831,0.8963192,2.3821461,2.0230443,1.640462
0.4326085,0.23597446,0.89388025,2.3756642,2.0175395,1.6359982
0.4314281,0.23533061,0.89144135,2.3691823,2.0120347,1.6315345
0.43024775,0.23468676,0.88900244,2.3627005,2.0065298,1.6270707
0.4290674,0.23404291,0.8865635,2.3562183,2.0010252,1.6226069
0.42788702,0.23339906,0.8841246,2.3497365,1.9955202,1.6181431
0.42670667,0.23275521,0.8816856,2.3432546,1.9900155,1.6136794
0.4255263,0.23211136,0.8792467,2.3367727,1.9845107,1.6092156
0.42434594,0.2314675,0.87680775,2.3302908,1.9790058,1.6047518
0.4231656,0.23082365,0.87436885,2.3238087,1.973501,1.600288
0.4219852,0.2301798,0.8719299,2.3173268,1.9679962,1.5958242
0.42080486,0.22953595,0.869491,2.310845,1.9624914,1.5913604
0.4196245,0.2288921,0.867052,2.3043628,1.9569865,1.5868967
0.41844413,0.22824825,0.8646131,2.297881,1.9514818,1.5824329
0.41726378,0.2276044,0.86217415,2.291399,1.945977,1.5779691
0.4160834,0.22696055,0.85973525,2.284917,1.9404721,1.5735053
0.41490304,0.2263167,0.8572963,2.2784352,1.9349674,1.5690415
0.4137227,0.22567286,0.8548574,2.271953,1.9294626,1.5645777
0.41254234,0.225029,0.8524184,2.2654712,1.9239578,1.560114
0.41136196,0.22438516,0.8499795,2.2589893,1.918453,1.5556502
0.4101816,0.22374131,0.8475406,2.2525074,1.9129481,1.5511864
0.40900123,0.22309746,0.84510165,2.2460256,1.9074434,1.5467227
0.40782088,0.2224536,0.84266275,2.2395434,1.9019386,1.5422589
0.40664053,0.22180974,0.8402238,2.2330616,1.8964338,1.5377951
0.40546018,0.2211659,0.8377849,2.2265797,1.890929,1.5333313
0.4042798,0.22052205,0.835346,2.2200978,1.8854241,1.5288675
0.40309945,0.2198782,0.832907,2.213616,1.8799194,1.5244038
0.40191907,0.21923435,0.8304681,2.2071338,1.8744146,1.51994
0.40073872,0.2185905,0.82802916,2.200652,1.8689097,1.5154762
0.39955837,0.21794665,0.82559025,2.19417,1.863405,1.5110124
0.398378,0.2173028,0.8231513,2.187688,1.8579001,1.5065486
0.39719763,0.21665895,0.8207124,2.1812062,1.8523953,1.5020849
0.39601728,0.2160151,0.8182735,2.174724,1.8468906,1.497621
0.3948369,0.21537125,0.8158345,2.1682422,1.8413857,1.4931573
0.39365655,0.2147274,0.8133956,2.1617603,1.835881,1.4886935
0.3924762,0.21408355,0.81095666,2.1552784,1.8303761,1.4842298
0.39129585,0.2134397,0.80851775,2.1487966,1.8248713,1.479766
0.39011547,0.21279585,0.8060788,2.1423144,1.8193666,1.4753022
0.38893512,0.212152,0.8036399,2.1358325,1.8138617,1.4708384
0.38775477,0.21150815,0.801201,2.1293507,1.808357,1.4663746
0.3865744,0.2108643,0.798762,2.1228685,1.8028522,1.4619108
0.38539404,0.21022046,0.7963231,2.1163867,1.7973473,1.457447
0.3842137,0.2095766,0.79388416,2.1099048,1.7918425,1.4529833
0.3830333,0.20893276,0.79144526,2.1034229,1.7863377,1.4485195
0.38185295,0.20828891,0.7890063,2.096941,1.7808329,1.4440558
0.38067257,0.20764506,0.7865674,2.0904589,1.7753282,1.439592
0.37949222,0.20700121,0.7841284,2.083977,1.7698233,1.4351282
0.37831187,0.20635736,0.7816895,2.077495,1.7643185,1.4306644
0.37713152,0.20571351,0.7792506,2.0710132,1.7588137,1.4262006
0.37595114,0.20506966,0.77681166,2.0645313,1.7533089,1.4217368
0.3747708,0.2044258,0.77437276,2.0580492,1.7478042,1.417273
0.3735904,0.20378195,0.7719338,2.0515673,1.7422993,1.4128094
0.37241006,0.2031381,0.7694949,2.0450854,1.7367945,1.4083456
0.3712297,0.20249425,0.767056,2.0386035,1.7312896,1.4038818
0.37004936,0.2018504,0.764617,2.0321217,1.7257849,1.399418
0.36886898,0.20120655,0.7621781,2.0256395,1.72028,1.3949542
0.36768863,0.2005627,0.75973916,2.0191576,1.7147753,1.3904904
0.36650825,0.19991885,0.75730026,2.0126758,1.7092705,1.3860266
0.3653279,0.199275,0.75486135,2.0061939,1.7037656,1.381563
0.36414754,0.19863115,0.7524224,1.9997119,1.6982609,1.377099
0.3629672,0.1979873,0.74998343,1.99323,1.692756,1.3726354
0.3617868,0.19734345,0.7475445,1.986748,1.6872513,1.3681716
0.36060646,0.1966996,0.7451056,1.9802661,1.6817465,1.3637078
0.35942608,0.19605576,0.74266666,1.9737842,1.6762416,1.359244
0.35824573,0.1954119,0.74022776,1.9673022,1.6707369,1.3547802
0.35706538,0.19476806,0.7377888,1.9608202,1.6652321,1.3503164
0.35588503,0.1941242,0.7353499,1.9543383,1.6597273,1.3458526
0.35470465,0.19348036,0.732911,1.9478564,1.6542225,1.341389
0.3535243,0.19283651,0.730472,1.9413745,1.6487176,1.336925
0.35234395,0.19219264,0.7280331,1.9348925,1.6432128,1.3324614
0.35116357,0.1915488,0.72559416,1.9284105,1.6377081,1.3279976
0.34998322,0.19090495,0.72315526,1.9219286,1.6322032,1.3235338
0.34880286,0.1902611,0.72071636,1.9154468,1.6266985,1.31907
0.34762248,0.18961725,0.7182774,1.9089649,1.6211936,1.3146062
0.34644213,0.1889734,0.71583843,1.9024829,1.6156888,1.3101424
0.34526178,0.18832955,0.7133995,1.8960009,1.6101841,1.3056786
0.3440814,0.1876857,0.7109606,1.889519,1.6046792,1.3012149
0.34290105,0.18704185,0.70852166,1.8830371,1.5991745,1.2967511
0.3417207,0.186398,0.70608276,1.8765551,1.5936697,1.2922873
0.34054032,0.18575415,0.7036438,1.8700731,1.5881648,1.2878236
0.33935997,0.1851103,0.7012049,1.8635912,1.58266,1.2833598
0.33817962,0.18446645,0.698766,1.8571093,1.5771552,1.278896
0.33699924,0.1838226,0.69632703,1.8506274,1.5716505,1.2744322
0.3358189,0.18317875,0.6938881,1.8441454,1.5661457,1.2699685
0.33463854,0.1825349,0.69144917,1.8376634,1.5606408,1.2655046
0.3334582,0.18189105,0.68901026,1.8311815,1.555136,1.2610409
0.3322778,0.1812472,0.68657136,1.8246996,1.5496312,1.2565771
0.33109745,0.18060336,0.6841324,1.8182178,1.5441265,1.2521133
0.32991707,0.1799595,0.68169343,1.8117357,1.5386217,1.2476496
0.32873672,0.17931566,0.67925453,1.8052537,1.5331168,1.2431858
0.32755637,0.1786718,0.6768156,1.7987719,1.527612,1.238722
0.326376,0.17802796,0.67437667,1.79229,1.5221071,1.2342582
0.32519564,0.17738411,0.6719377,1.785808,1.5166024,1.2297944
0.32401526,0.17674026,0.6694988,1.779326,1.5110976,1.2253306
0.3228349,0.17609641,0.6670599,1.7728441,1.5055928,1.2208669
0.32165456,0.17545256,0.664621,1.7663622,1.500088,1.2164031
0.3204742,0.17480871,0.66218203,1.7598803,1.4945831,1.2119393
0.31929383,0.17416486,0.6597431,1.7533983,1.4890783,1.2074755
0.31811348,0.173521,0.65730417,1.7469163,1.4835736,1.2030118
0.3169331,0.17287715,0.65486526,1.7404344,1.4780688,1.198548
0.31575274,0.1722333,0.65242636,1.7339525,1.472564,1.1940842
0.3145724,0.17158945,0.6499874,1.7274705,1.4670591,1.1896205
0.31339204,0.1709456,0.64754844,1.7209886,1.4615543,1.1851566
0.3122117,0.17030175,0.64510953,1.7145066,1.4560496,1.1806929
0.3110313,0.1696579,0.64267063,1.7080247,1.4505448,1.1762291
0.30985093,0.16901405,0.64023167,1.7015429,1.44504,1.1717653
0.30867058,0.1683702,0.6377927,1.6950608,1.4395351,1.1673015
0.30749023,0.16772635,0.6353538,1.6885788,1.4340303,1.1628377
0.30630988,0.1670825,0.6329149,1.682097,1.4285256,1.1583741
0.30512953,0.16643865,0.630476,1.6756151,1.4230207,1.1539102
0.30394915,0.1657948,0.62803704,1.6691332,1.417516,1.1494465
0.30276877,0.16515094,0.6255981,1.6626512,1.4120111,1.1449826
0.30158842,0.16450709,0.62315917,1.6561692,1.4065063,1.1405189
0.30040807,0.16386324,0.62072027,1.6496873,1.4010015,1.1360551
0.2992277,0.16321939,0.61828136,1.6432054,1.3954967,1.1315913
0.29804736,0.16257554,0.6158424,1.6367235,1.389992,1.1271275
0.29686698,0.1619317,0.61340344,1.6302415,1.3844872,1.1226637
0.2956866,0.16128784,0.61096454,1.6237595,1.3789823,1.1182001
0.29450625,0.160644,0.60852563,1.6172776,1.3734775,1.1137362
0.2933259,0.16000015,0.6060867,1.6107957,1.3679727,1.1092725
0.29214555,0.1593563,0.6036477,1.6043139,1.362468,1.1048087
0.2909652,0.15871245,0.6012088,1.5978318,1.3569632,1.1003449
0.28978482,0.1580686,0.5987699,1.5913498,1.3514583,1.0958811
0.28860444,0.15742475,0.596331,1.584868,1.3459535,1.0914173
0.2874241,0.1567809,0.59389204,1.5783861,1.3404487,1.0869536
0.28624374,0.15613705,0.5914531,1.5719041,1.3349439,1.0824897
0.2850634,0.1554932,0.5890142,1.5654222,1.3294392,1.078026
0.28388304,0.15484935,0.58657527,1.5589402,1.3239343,1.0735621
0.28270265,0.1542055,0.58413637,1.5524583,1.3184295,1.0690985
0.2815223,0.15356165,0.5816974,1.5459764,1.3129246,1.0646347
0.28034192,0.1529178,0.57925844,1.5394944,1.3074199,1.0601709
0.27916157,0.15227395,0.57681954,1.5330124,1.3019152,1.0557071
0.27798122,0.1516301,0.57438064,1.5265305,1.2964103,1.0512433
0.27680087,0.15098625,0.5719417,1.5200486,1.2909055,1.0467796
0.2756205,0.1503424,0.5695028,1.5135667,1.2854006,1.0423157
0.27444014,0.14969856,0.5670638,1.5070847,1.2798959,1.037852
0.27325976,0.1490547,0.5646249,1.5006027,1.2743912,1.0333883
0.2720794,0.14841086,0.562186,1.4941208,1.2688863,1.0289245
0.27089906,0.147767,0.55974704,1.487639,1.2633815,1.0244607
0.2697187,0.14712316,0.5573081,1.4811571,1.2578766,1.0199969
0.26853833,0.14647931,0.5548692,1.474675,1.2523719,1.0155332
0.26735798,0.14583546,0.5524303,1.468193,1.2468671,1.0110693
0.2661776,0.14519161,0.54999137,1.4617112,1.2413623,1.0066056
0.26499724,0.14454776,0.5475524,1.4552293,1.2358575,1.0021417
0.2638169,0.14390391,0.54511344,1.4487473,1.2303526,0.99767804
0.26263654,0.14326006,0.54267454,1.4422654,1.2248478,0.99321425
0.26145616,0.14261621,0.54023564,1.4357834,1.2193431,0.98875046
0.2602758,0.14197236,0.5377967,1.4293015,1.2138383,0.98428667
0.25909543,0.14132851,0.5353578,1.4228196,1.2083335,0.97982293
0.25791508,0.14068465,0.5329188,1.4163376,1.2028286,0.97535914
0.25673473,0.1400408,0.5304799,1.4098557,1.1973238,0.97089535
0.25555438,0.13939695,0.528041,1.4033737,1.1918191,0.96643156
0.254374,0.1387531,0.52560204,1.3968918,1.1863143,0.96196777
0.25319365,0.13810925,0.5231631,1.3904098,1.1808095,0.95750403
0.25201327,0.1374654,0.5207242,1.383928,1.1753047,0.95304024
0.25083292,0.13682155,0.5182853,1.377446,1.1697998,0.94857645
0.24965256,0.1361777,0.5158464,1.370964,1.1642951,0.94411266
0.2484722,0.13553385,0.5134074,1.3644822,1.1587902,0.9396489
0.24729185,0.13489,0.51096845,1.3580002,1.1532855,0.93518513
0.24611148,0.13424616,0.50852954,1.3515183,1.1477807,0.93072134
0.24493112,0.1336023,0.50609064,1.3450364,1.1422758,0.92625755
0.24375077,0.13295846,0.50365174,1.3385544,1.136771,0.9217938
0.2425704,0.1323146,0.5012128,1.3320725,1.1312662,0.91733
